Experiment ID	Experiment name	Library count	Condition count	Organ-stage count	Organ count	Stage count	Sex count	Strain count	Data source	Data source URL	Bgee normalized data URL	Experiment description
SRP001558	"Sex-specific and lineage-specific alternative splicing in primates"	12	2	1	1	1	2	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP001558	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP001558.tsv.gz	"Comparative studies of gene regulation suggest an important role for natural selection in shaping gene expression patterns within and between species. Most of these studies, however, estimated gene expression levels using microarray probes designed to hybridize to only a small proportion of each gene. Here we used recently-developed RNA sequencing protocols, which side-step this limitation, to assess intra- and inter-species variation in gene regulatory processes in considerably more detail than was previously possible. Specifically, we used RNAseq to study transcript levels in humans, chimpanzees, and rhesus macaques, using liver RNA samples from three males and three females from each species. Our approach allowed us to identify a large number of genes whose expression levels likely evolve under natural selection in primates. These include a subset of genes with conserved sexually dimorphic expression patterns across the three species, which we found to be enriched for genes involved in lipid metabolism. Our data also suggest that while alternative splicing is tightly regulated within and between species, sex-specific and lineage-specific changes in the expression of different splice forms are also frequent. Intriguingly, among genes in which a change in exon usage occurred exclusively in the human lineage, we found an enrichment of genes involved in anatomical structure and morphogenesis, raising the possibility that differences in the regulation of alternative splicing have been an important force in human evolution. Keywords: Gene Regulation Study Overall design: Examination of gene expression levels in livers from three primate species (human, chimpanzee, and rhesus macaque), using 3 male and 3 female samples from each species."
ERP006696	"Olfactory_transcriptomics_in_mammals"	12	1	1	1	1	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/ERP006696	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_ERP006696.tsv.gz	"In this study RNA was extracted from the olfactory mucosa of three individuals of four mammalian species: cow, macaque, marmoset and humans. The RNA was sequenced using the Illumina Hiseq2500 platform."
SRP007359	"Digital gene expression and global mapping of polyadenylation sites with PolyA-Seq"	11	7	7	6	2	2	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP007359	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP007359.tsv.gz	"We describe PolyA-Seq, a strand-specific method for high-throughput sequencing of the 3' ends of polyadenylated transcripts. PolyA-Seq is as accurate for digital gene expression as existing RNA sequencing approaches, and superior to microarrays. We used the approach to map polyadenylation (polyA) sites in 24 samples from normal tissues in human, rhesus, dog, mouse, and rat. Overall design: Detection of polyA sites in a mixture of 24 tissues in human, mouse, rat, dog and rhesus. Samples included two replicates each of MAQC Human Brain Reference and MAQC Universal Human Reference. Two additional human sets of reads are included that were used to distinguish true polyA sites from internal priming sites."
GSE43520	"The evolution of lncRNA repertoires and expression patterns in tetrapods"	11	7	7	5	5	2	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43520	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE43520.tsv.gz	"To broaden our understanding of lncRNA evolution, we used an extensive RNA-seq dataset to establish lncRNA repertoires and homologous gene families in 11 tetrapod species. We analyzed the poly- adenylated transcriptomes of 8 organs (cortex/whole brain without cerebellum, cerebellum, heart, kidney, liver, placenta, ovary and testis) and 11 species (human, chimpanzee, bonobo, gorilla, orangutan, macaque, mouse, opossum, platypus, chicken and the frog Xenopus tropicalis), which shared a common ancestor ~370 millions of years (MY) ago. Our dataset included 47 strand-specific samples, which allowed us to confirm the orientation of gene predictions and to address the evolution of sense-antisense transcripts. See also GSE43721 (Soumillon et al, Cell Reports, 2013) for three strand-specific samples for mouse brain, liver and testis."
SRP029592	"RNA-seq transcriptomes of term not in labour and term in labour human myometrial tissue"	10	1	1	1	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP029592	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP029592.tsv.gz	"At term with and at term without labour human myometrial mRNA profiles were generated by deep sequencing, using Illumina GAIIx (five biological replicates each)."
E-MTAB-2449	"RNA-seq of achilles tendon from young and old donors to study age-related changes in tendon"	9	5	9	1	9	2	1	ArrayExpress	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2449	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_E-MTAB-2449.tsv.gz	"Tendon from young and old donors was used for RNA-Seq analysis. The aim of the study was to identify differentially expressed tendon transcripts in ageing in order to to characterize molecular mechanisms associated with age-related changes in tendon."
SRP073607	"Divergent expression and metabolic functions of human glucuronosyltransferases through alternative splicing"	9	3	3	3	1	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=SRP073607	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP073607.tsv.gz	"normal and tumoral metabolic tissues by targeted RNA next-generation sequencing; Total RNA was extracted from liver, kidney, intestine and colon from multiple human donors. RNA-sequencing was conducted with a Illumina HiSeq 2500 system"
SRP058740	"Analysis of human, chimpanzee, macaque and mouse tissue transcriptomes using Next Generation Sequencing"	8	8	8	4	5	1	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP058740	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP058740.tsv.gz	"We performed deep strand-specific sequencing of poly-adenylated RNA (polyA+ RNAseq) from human, chimpanzee, macaque and mouse tissues, with the goal of detecting numerous non-annotated poorly expressed and antisense genes. We identified thousands of annotated and novel genes, especially in testis. We discovered that ~2% of the human and chimpanzee multiexonic genes were specific from such species. Overall design: We generated RNA-Seq data (~2.10 billion paired-end reads, 25-100 bp length) for the polyadenylated RNA fraction of brain (cerebral cortex), heart, liver and testis. In human and chimpanzee, we generated 2 samples per tissue corresponding to different individuals. In macaque, only 1 sample per tissue was generated. In mouse, considered as the evolutionary outgroup, we generated three pools of brain samples, and one pool of heart, liver and testis samples. We generated an additional sample in Testis without including reverse transcriptase as a control of DNA contamination."
GSE62098	"RNA-Seq of the corpus callosum from 12 individuals"	6	4	6	1	6	1	1	GEO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62098	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_GSE62098.tsv.gz	"We performed RNA-Seq for the corpus callosum sampled from 12 individuals. The samples were dissected from the frozen postmortem brain. The 12 individuals were matched by their age, sex and ethnicity for the postmortem brain samples, but differed in their disease status with half of the subjects were diagnosed with autism spectrum disorders."
SRP034929	"XSAnno: A framework for building ortholog models in cross-species transcriptome comparisons"	5	4	5	1	5	2	1	SRA	https://www.ncbi.nlm.nih.gov/sra/SRP034929	https://bgee.org/ftp/bgee_v15_0/download/processed_expr_values/rna_seq/Homo_sapiens/Homo_sapiens_RNA-Seq_read_counts_TPM_FPKM_SRP034929.tsv.gz	"The accurate characterization of transcripts and levels across species is critical for understanding transcriptome evolution. As available RNA-seq data accumulate rapidly, there is a great demand for tools that build gene annotations for cross-species RNA-seq analysis. Prevailing methods of ortholog annotation for RNA-seq analysis, do not take inter-species variation in mappability into consideration. Here we developed a computational framework that integrates previous approaches with multiple filters to improve the accuracy of inter-species transcriptome comparisons. The implementation of this approach in comparing RNA-seq data of human, chimpanzee, and rhesus macaque brain transcriptomes has reduced the false discovery of differentially expressed genes, while keeping the false negative rate low."
