CUI,umls_name,mapped_mondo_id,mondo_name,from_mondo_ont,manually_searched,,
C0032914,Pre-Eclampsia,MONDO:0005081,preeclampsia,,x,,
C0334640,Diffuse Large B-Cell Lymphoma,MONDO:0018905,diffuse large B-cell lymphoma,,x,,obsolete term replaced by C0079744
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",MONDO:0005148,type 2 diabetes mellitus,,x,,
C0242488,Acute Lung Injury,MONDO:0015796,acute lung injury,,x,,
C0001339,"Pancreatitis, Acute",MONDO:0006515,acute pancreatitis,,x,,
C0275095,Ochratoxin-induced porcine nephropathy,MONDO:0005240,kidney disorder,,x,,
C0267975,"Nutritional deficiency, NEC",MONDO:0006873,nutritional deficiency disease,,x,,
C0600427,Cocaine Dependence,MONDO:0005186,cocaine dependence,,x,,
C0017636,Glioblastoma,MONDO:0018177,glioblastoma,,x,,
C0024623,Malignant neoplasm of stomach,MONDO:0021085,gastric neoplasm,,x,,
C0023458,Chronic Lymphocytic Leukemia,MONDO:0004948,B-cell chronic lymphocytic leukemia,,x,,obsolete term replaced by C0023434
C0033141,"Cardiomyopathies, Primary",MONDO:0004994,cardiomyopathy,,x,,
C0205969,Thymic Carcinoma,MONDO:0006451,thymic carcinoma,,x,,
C0334267,Transitional cell carcinoma in situ,MONDO:0004703,bladder carcinoma in situ,,x,,
C0161750,Exhaustion due to excessive exertion,MONDO:0100081,sleep disorder,,x,,
C0340279,Ventricular hypertrophy,MONDO:0045001,cardiac ventricle disorder,,x,,
C0238528,Infection by Yersinia enterocolitica,MONDO:0042370,Yersinia enterocolitica infectious disease,,x,,
C1720457,Renal disorder due to type 2 diabetes mellitus,MONDO:0005148,type 2 diabetes mellitus,,x,,
C0019204,Liver carcinoma,MONDO:0004715,liver carcinoma in situ,,x,,obsolete term replaced by C2239176
C0276548,HIV encephalitis,MONDO:0019956,encephalitis,,x,,
C1320188,Escherichia coli infection of the central nervous system,MONDO:0020920,escherichia coli infection,,x,,
C0020542,Pulmonary Hypertension,MONDO:0005149,pulmonary hypertension,,x,,
C0011881,Diabetic Nephropathy,MONDO:0005016,diabetic kidney disease,,x,,
C0339573,"Glaucoma, Primary Open Angle",MONDO:0005338,open-angle glaucoma,,x,,
C0011175,Dehydration,MONDO:0002437,dehydration polycythemia,,x,,
C0149721,Left Ventricular Hypertrophy,MONDO:0045001,cardiac ventricle disorder,,x,,
C0263739,Polyarticular juvenile chronic RA,MONDO:0018456,polyarticular juvenile idiopathic arthritis,,x,,
C0016658,Fracture,MONDO:0005315,bone fracture,,x,,
C0043117,Immune thrombocytopenic purpura,MONDO:0008558,autoimmune thrombocytopenic purpura,,x,,obsolete term replaced by C0398650
C0034067,Pulmonary Emphysema,MONDO:0004849,pulmonary emphysema,,x,,
C0334097,Epithelial proliferation,MONDO:0005626,epithelial neoplasm,,x,,
C0004763,Barrett Esophagus,MONDO:0013662,Barrett esophagus,,x,,
C0042133,Uterine Fibroids,MONDO:0004701,uterine polyp,,x,,
control,control,MONDO:0000000,control,,x,,
