id	name	MESH	def
MONDO:0000448	paraganglioma	MESH:D010235	"""A benign or malignant neoplasm arising from paraganglia located along the sympathetic or parasympathetic nerves. Infrequently, it may arise outside the usual distribution of the sympathetic and parasympathetic paraganglia. Tumors arising from the adrenal gland medulla are called pheochromocytomas. Morphologically, paragangliomas usually display a nesting (Zellballen) growth pattern. There are no reliable morphologic criteria to distinguish between benign and malignant paragangliomas. The only definitive indicator of malignancy is the presence of regional or distant metastases."" [NCIT:C3308]"
MONDO:0000453	short QT syndrome	MESH:C580439	"""A genetic disease of the electrical system of the heart that consists of a constellation of signs and symptoms, consisting of a short QT interval on an EKG (< 300 ms) that does not significantly change with heart rate, tall and peaked T waves, and a structurally normal heart. Short QT syndrome appears to be inherited in an autosomal dominant pattern, and a few affected families have been identified"" [Wikipedia:Short_QT_syndrome]"
MONDO:0000455	cone dystrophy	MESH:D000077765	"""An inherited ocular disorder characterized by the loss of cone cells, the photoreceptors responsible for both central and color vision."" [http://en.wikipedia.org/wiki/Cone_dystrophy]"
MONDO:0000461	nutritional biotin deficiency	MESH:C531633	
MONDO:0000463	Ochoa syndrome	MESH:C536480	"""Ochoa syndrome is characterized by the association of severe voiding dysfunction and a characteristic facial expression."" [Orphanet:2704]"
MONDO:0000465	atrioventricular block	MESH:D054537	"""A heart block that is initiated in the atrioventricular node."" [MONDO:cjm, Wikipedia:Atrioventricular_block]"
MONDO:0000476	generalized dystonia	MESH:D004422	
MONDO:0000485	spasmodic dystonia	MESH:D055154	"""A chronic voice disorder characterized by momentary periods of uncontrolled spasms of the muscles of the larynx."" [https://rarediseases.org/rare-diseases/laryngeal-dystonia/]"
MONDO:0000495	oppositional defiant disorder	MESH:D019958	"""A behavior disorder characterized by a persistent pattern of defiant, disobedient, and hostile behavior towards authority figures, manifested by a frequent loss of temper, arguing, becoming angry or vindictive, or other negativistic behaviors."" [NCIT:C92565]"
MONDO:0000497	pyometritis	MESH:D055112	"""Inflammation of uterine musculature associated with pus in the uterine cavity."" [https://medical-dictionary.thefreedictionary.com/pyometritis]"
MONDO:0000502	villous adenoma	MESH:D018253	"""An epithelial neoplasm morphologically characterized by the presence of a villous architectural pattern. Most often it occurs in the large intestine, small intestine, and the stomach in which the neoplastic epithelial cells show dysplastic features. It may also arise in the urinary bladder, urethra, and vagina."" [NCIT:P378]"
MONDO:0000510	synucleinopathy	MESH:D000080874	"""A neurodegenerative disease that is characterized by the abnormal accumulation of aggregates of alpha-synuclein protein in neurons, nerve fibres or glial cells. [url:http://en.wikipedia.org/wiki/Synucleinopathies ]"" [DOID:0050890]"
MONDO:0000583	immunoglobulin beta deficiency	MESH:C567200	
MONDO:0000594	pervasive developmental disorder	MESH:D002659	"""A category of developmental disorders characterized by impaired communication and socialization skills. The impairments are incongruent with the individual's developmental level or mental age. These disorders can be associated with general medical or genetic conditions."" [NCIT:C97179]"
MONDO:0000596	paraphilic disorder	MESH:D010262	"""Disorders that include recurrent, intense sexually arousing fantasies, sexual urges, or behaviors generally involving nonhuman objects, suffering of oneself or partners, or children or other nonconsenting partners. (from DSM-V)"" [MESH:D010262]"
