brenda,brenda_name,uberon,uberon_name,average_zscore,relation,expert-curated
BTO:0001969,697 cell,CL:0000817,precursor B cell,,,x
BTO:0002035,U-251MG cell,CL:0000125,glial cell,,,x
BTO:0002139,HS-683 cell,CL:0000125,glial cell,,,x
BTO:0002181,HEK-293T cell,CL:0002518,kidney epithelial cell,,,x
BTO:0002378,pilocytic astrocytoma cell,CL:0000127,astrocyte,,,x
BTO:0002744,CAPAN-1 cell,UBERON:0001264,pancreas,,,x
BTO:0002870,RT-4 cell,CL:2000040,bladder microvascular endothelial cell,,,x
BTO:0003076,,,,,,x
BTO:0003288,NALM-6 cell,CL:0000817,precursor B cell,,,x
BTO:0003473,polymorphonuclear neutrophil,CL:0000775,neutrophil,,,x
BTO:0003739,TALL-1 cell,CL:0000084,T cell,,,x
BTO:0004964,KOPT-K1 cell,CL:0000084,T cell,,,x
BTO:0004981,KARPAS-422 cell,CL:0000236,B cell,,,x
BTO:0005054,macrophage foam cell,CL:0000235,macrophage,,,x
BTO:0005377,RD cell,UBERON:0002036,striated muscle tissue,,,x
BTO:0005379,Rh-30 cell,UBERON:0002036,striated muscle tissue,,,x
BTO:0005380,Rh-18 cel,UBERON:0002036,striated muscle tissue,,,x
